"year","news","pages","sort","RandID"
"1961","Daily News Record - 1961 October 11","16","13208","774888857889"
"1961","Daily News Record - 1961 October 12","26","13209","485418116902"
"1961","Daily News Record - 1961 October 13","20","13210","121825994191"
"1961","Daily News Record - 1961 October 14","14","13211","165466768159"
"1961","Daily News Record - 1961 October 16","14","13212","740768535224"
"1961","Daily News Record - 1961 October 17","14","13213","659537158712"
"1961","Daily News Record - 1961 October 18","20","13214","509962030792"
"1961","Daily News Record - 1961 October 19","20","13215","443824630909"
"1961","Daily News Record - 1961 October 20","18","13216","50624635689"
"1961","Daily News Record - 1961 October 21","16","13217","145789282675"
"1961","Daily News Record - 1961 October 23","14","13218","615656521651"
"1961","Daily News Record - 1961 October 24","16","13219","929348206244"
"1961","Daily News Record - 1961 October 25","20","13220","960940456410"
"1961","Daily News Record - 1961 October 26","24","13221","579278027918"
"1961","Daily News Record - 1961 October 27","16","13222","455844658612"
"1961","Daily News Record - 1961 October 28","14","13223","653432647337"
"1961","Daily News Record - 1961 October 30","14","13224","264982305213"
"1961","Daily News Record - 1961 October 31","16","13225","627689821018"
"1961","Daily News Record - 1961 November 01","18","13226","996091058428"
"1961","Daily News Record - 1961 November 02","24","13227","844499860226"
"1961","Daily News Record - 1961 November 03","18","13228","291297254955"
"1961","Daily News Record - 1961 November 04","16","13229","675309279847"
"1961","Daily News Record - 1961 November 06","14","13230","238874523471"
"1961","Daily News Record - 1961 November 07","16","13231","894385805500"
"1961","Daily News Record - 1961 November 08","18","13232","513372129860"
"1961","Daily News Record - 1961 November 09","28","13233","251717783115"
"1961","Daily News Record - 1961 November 10","22","13234","892775855732"
"1961","Daily News Record - 1961 November 13","14","13235","431364801019"
"1961","Daily News Record - 1961 November 14","16","13236","346900257043"
"1961","Daily News Record - 1961 November 15","18","13237","435186291915"
"1961","Daily News Record - 1961 November 16","20","13238","601847288554"
"1961","Daily News Record - 1961 November 17","18","13239","277185093251"
"1961","Daily News Record - 1961 November 18","16","13240","837079078939"
"1961","Daily News Record - 1961 November 20","14","13241","188312472120"
"1961","Daily News Record - 1961 November 21","16","13242","606043663058"
"1961","Daily News Record - 1961 November 22","44","13243","183654027302"
"1961","Daily News Record - 1961 November 24","14","13244","845588284839"
"1961","Daily News Record - 1961 November 25","14","13245","342241228943"
"1961","Daily News Record - 1961 November 27","14","13246","876447038706"
"1961","Daily News Record - 1961 November 28","16","13247","893725208219"
"1961","Daily News Record - 1961 November 29","22","13248","35374682224"
"1961","Daily News Record - 1961 November 30","34","13249","735846827497"
"1961","Daily News Record - 1961 December 01","18","13250","223117989966"
"1961","Daily News Record - 1961 December 02","14","13251","252704108645"
"1961","Daily News Record - 1961 December 04","16","13252","421096591121"
"1961","Daily News Record - 1961 December 05","14","13253","837543835689"
"1961","Daily News Record - 1961 December 06","24","13254","608758403529"
"1961","Daily News Record - 1961 December 07","34","13255","807102640396"
"1961","Daily News Record - 1961 December 08","20","13256","504057107161"
"1961","Daily News Record - 1961 December 09","16","13257","29933188258"
"1961","Daily News Record - 1961 December 11","18","13258","917972153016"
"1961","Daily News Record - 1961 December 12","18","13259","571837270049"
"1961","Daily News Record - 1961 December 13","20","13260","42682141564"
"1961","Daily News Record - 1961 December 14","30","13261","621278733303"
"1961","Daily News Record - 1961 December 15","20","13262","729761590655"
"1961","Daily News Record - 1961 December 16","16","13263","420879321116"
"1961","Daily News Record - 1961 December 18","20","13264","323075708736"
"1961","Daily News Record - 1961 December 19","16","13265","562848685121"
"1961","Daily News Record - 1961 December 20","22","13266","219999357859"
"1961","Daily News Record - 1961 December 21","20","13267","862130167878"
"1961","Daily News Record - 1961 December 22","16","13268","388911494690"
"1961","Daily News Record - 1961 December 23","38","13269","797445469679"
"1961","Daily News Record - 1961 December 26","18","13270","180966579164"
"1961","Daily News Record - 1961 December 27","12","13271","794208088457"
"1961","Daily News Record - 1961 December 28","14","13272","65896301996"
"1961","Daily News Record - 1961 December 29","14","13273","141986511564"
"1961","Daily News Record - 1961 December 30","16","13274","286650066488"
"1962","Daily News Record - 1962 January 02","16","13275","210997607212"
"1962","Daily News Record - 1962 January 03","14","13276","773267529459"
"1962","Daily News Record - 1962 January 04","18","13277","615787573714"
"1962","Daily News Record - 1962 January 05","14","13278","155342723156"
"1962","Daily News Record - 1962 January 06","12","13279","719226219031"
"1962","Daily News Record - 1962 January 08","14","13280","53263407226"
"1962","Daily News Record - 1962 January 09","14","13281","166239323788"
"1962","Daily News Record - 1962 January 10","18","13282","465192899643"
"1962","Daily News Record - 1962 January 11","20","13283","164997450595"
"1962","Daily News Record - 1962 January 12","14","13284","469231270534"
"1962","Daily News Record - 1962 January 13","14","13285","814856863475"
"1962","Daily News Record - 1962 January 15","14","13286","363700015493"
"1962","Daily News Record - 1962 January 16","14","13287","627123276197"
"1962","Daily News Record - 1962 January 17","16","13288","24015717788"
"1962","Daily News Record - 1962 January 18","20","13289","349221019589"
"1962","Daily News Record - 1962 January 19","20","13290","678755324368"
"1962","Daily News Record - 1962 January 20","14","13291","528262968196"
"1962","Daily News Record - 1962 January 22","14","13292","532495061189"
"1962","Daily News Record - 1962 January 23","14","13293","820119258272"
"1962","Daily News Record - 1962 January 24","16","13294","986678261677"
"1962","Daily News Record - 1962 January 25","18","13295","639289524670"
"1962","Daily News Record - 1962 January 26","14","13296","445611040604"
"1962","Daily News Record - 1962 January 27","12","13297","268233146130"
"1962","Daily News Record - 1962 January 29","14","13298","421800376734"
"1962","Daily News Record - 1962 January 30","12","13299","307968879372"
"1962","Daily News Record - 1962 January 31","18","13300","467963333879"
